SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
28596,"30361","1","City","Fire","2019","Fire ATV",1,39,,,,,"https://images.brickset.com/sets/images/30361-1.jpg",3201,335
28605,"30362","1","City","Sky Police","2019","Sky Police Jetpack",2,33,,3.99,,,"https://images.brickset.com/sets/images/30362-1.jpg",1393,526
28946,"30363","1","City","","2019","Race Boat",1,34,,,,,"https://images.brickset.com/sets/images/30363-1.jpg",1483,402
28938,"30364","1","City","","2019","Popcorn Cart",1,43,,,,,"https://images.brickset.com/sets/images/30364-1.jpg",5024,1365
29295,"30365","1","City","Space","2019","Space Satellite",1,36,,,,,"https://images.brickset.com/sets/images/30365-1.jpg",4038,915
29308,"40345","1","City","Space","2019","Mars Exploration Minifigure Pack",4,44,10.99,12.99,16.99,12.99,"https://images.brickset.com/sets/images/40345-1.jpg",1496,1207
29324,"60203","1","City","Town","2019","Ski Resort",11,806,74.99,89.99,119.99,79.99,"https://images.brickset.com/sets/images/60203-1.jpg",927,1124
28477,"60206","1","City","Sky Police","2019","Jet Patrol",2,54,7.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/60206-1.jpg",1142,326
28476,"60207","1","City","Sky Police","2019","Drone Chase",3,192,17.99,29.99,39.99,19.99,"https://images.brickset.com/sets/images/60207-1.jpg",1444,684
28475,"60208","1","City","Sky Police","2019","Parachute Arrest",4,218,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/60208-1.jpg",858,530
28474,"60209","1","City","Sky Police","2019","Diamond Heist",4,400,44.99,59.99,79.99,49.99,"https://images.brickset.com/sets/images/60209-1.jpg",817,609
28398,"60210","1","City","Sky Police","2019","Air Base",6,529,69.99,89.99,119.99,74.99,"https://images.brickset.com/sets/images/60210-1.jpg",519,717
28430,"60212","1","City","Fire","2019","Barbecue Burn Out",2,64,7.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/60212-1.jpg",1561,342
28429,"60213","1","City","Fire","2019","Dock Side Fire",2,97,14.99,19.99,24.99,14.99,"https://images.brickset.com/sets/images/60213-1.jpg",1196,384
