Date, Latitude, Longitude, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
1950-01-01,49.14691381158899,-123.17799849173855,26.73,28.13,32.78,26.73,28.13,32.78,26.73,28.13,32.78,
1951-01-01,49.14691381158899,-123.17799849173855,26.27,27.86,31.13,26.27,27.86,31.13,26.27,27.86,31.13,
1952-01-01,49.14691381158899,-123.17799849173855,26.00,27.70,32.03,26.00,27.70,32.03,26.00,27.70,32.03,
1953-01-01,49.14691381158899,-123.17799849173855,26.68,27.71,30.22,26.68,27.71,30.22,26.68,27.71,30.22,
1954-01-01,49.14691381158899,-123.17799849173855,26.15,28.04,30.58,26.15,28.04,30.58,26.15,28.04,30.58,
1955-01-01,49.14691381158899,-123.17799849173855,24.92,28.07,31.25,24.92,28.07,31.25,24.92,28.07,31.25,
1956-01-01,49.14691381158899,-123.17799849173855,27.26,29.12,31.92,27.26,29.12,31.92,27.26,29.12,31.92,
1957-01-01,49.14691381158899,-123.17799849173855,26.84,28.34,31.25,26.84,28.34,31.25,26.84,28.34,31.25,
1958-01-01,49.14691381158899,-123.17799849173855,26.39,27.87,32.09,26.39,27.87,32.09,26.39,27.87,32.09,
1959-01-01,49.14691381158899,-123.17799849173855,25.02,27.31,31.68,25.02,27.31,31.68,25.02,27.31,31.68,
1960-01-01,49.14691381158899,-123.17799849173855,25.88,28.17,29.60,25.88,28.17,29.60,25.88,28.17,29.60,
1961-01-01,49.14691381158899,-123.17799849173855,26.17,28.29,31.18,26.17,28.29,31.18,26.17,28.29,31.18,
1962-01-01,49.14691381158899,-123.17799849173855,25.62,27.66,30.11,25.62,27.66,30.11,25.62,27.66,30.11,
1963-01-01,49.14691381158899,-123.17799849173855,25.63,27.55,30.08,25.63,27.55,30.08,25.63,27.55,30.08,
1964-01-01,49.14691381158899,-123.17799849173855,24.66,27.47,31.44,24.66,27.47,31.44,24.66,27.47,31.44,
1965-01-01,49.14691381158899,-123.17799849173855,26.11,28.50,30.00,26.11,28.50,30.00,26.11,28.50,30.00,
1966-01-01,49.14691381158899,-123.17799849173855,26.69,27.71,31.00,26.69,27.71,31.00,26.69,27.71,31.00,
1967-01-01,49.14691381158899,-123.17799849173855,25.35,27.34,29.99,25.36,27.34,29.99,25.35,27.34,29.99,
1968-01-01,49.14691381158899,-123.17799849173855,25.47,27.88,30.43,25.47,27.88,30.43,25.47,27.88,30.43,
1969-01-01,49.14691381158899,-123.17799849173855,25.90,27.75,31.17,25.90,27.75,31.17,25.90,27.75,31.17,
1970-01-01,49.14691381158899,-123.17799849173855,26.09,27.37,31.49,26.09,27.37,31.49,26.09,27.37,31.49,
1971-01-01,49.14691381158899,-123.17799849173855,26.25,27.58,30.34,26.25,27.58,30.34,26.25,27.58,30.34,
1972-01-01,49.14691381158899,-123.17799849173855,26.03,27.57,29.36,26.03,27.57,29.36,26.03,27.57,29.36,
1973-01-01,49.14691381158899,-123.17799849173855,25.49,27.77,31.10,25.49,27.77,31.10,25.49,27.77,31.10,
1974-01-01,49.14691381158899,-123.17799849173855,25.76,28.03,31.79,25.76,28.03,31.79,25.76,28.03,31.79,
1975-01-01,49.14691381158899,-123.17799849173855,25.96,28.28,30.10,25.96,28.28,30.10,25.96,28.28,30.10,
1976-01-01,49.14691381158899,-123.17799849173855,27.09,28.54,32.44,27.09,28.54,32.44,27.09,28.54,32.44,
1977-01-01,49.14691381158899,-123.17799849173855,27.07,28.65,31.30,27.07,28.65,31.30,27.07,28.65,31.30,
1978-01-01,49.14691381158899,-123.17799849173855,26.21,29.00,31.48,26.21,29.00,31.48,26.21,29.00,31.48,
1979-01-01,49.14691381158899,-123.17799849173855,26.02,28.89,31.50,26.02,28.89,31.50,26.02,28.89,31.50,
1980-01-01,49.14691381158899,-123.17799849173855,26.22,28.98,32.17,26.23,28.99,31.59,26.22,29.00,32.17,
